max_concurrent_requests,mean_tpot_ms,endpoint_type,p99_itl_ms,max_concurrency,mean_itl_ms,request_throughput,others,task_id,max_output_tokens_per_s,mean_ttft_ms,backend,request_rate,total_output_tokens,median_itl_ms,total_input_tokens,completed,median_tpot_ms,request_goodput,timestamp,tokenizer_id,median_ttft_ms,model_id,failed,p99_tpot_ms,label,duration,output_throughput,date,std_itl_ms,p99_ttft_ms,std_ttft_ms,total_token_throughput,burstiness,base_url,std_tpot_ms,num_prompts
1,18.105002116324982,openai,18.583104209974408,,18.10500449658019,0.05386666023855635,doks-1.34.1-rocm-7.0.2-mi325x8-vllm,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260217,56.0,40.84758396493271,openai,10000.0,1024,18.10393395135179,1024,1,18.105002116324982,,2026-02-17 22:01:23.784000,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,40.84758396493271,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,18.105002116324982,,18.564358650997747,55.159460084281704,2026-02-17,0.18454969869459795,40.84758396493271,0.0,110.31892016856341,1.0,http://mi325-vllm-0111.default.svc.cluster.local:80,0.0,1
2,19.250276617330062,openai,19.77055048919283,,19.25027844381591,0.10106044211031119,doks-1.34.1-rocm-7.0.2-mi325x8-vllm,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260217,106.0,86.32397500332445,openai,10000.0,2048,19.211427483242005,2048,2,19.250276617330062,,2026-02-17 22:02:14.156000,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,86.32397500332445,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,19.28425230103204,,19.790137053001672,103.48589272095866,2026-02-17,1.5393676815997621,129.4409938470926,43.996958003845066,206.97178544191732,1.0,http://mi325-vllm-0111.default.svc.cluster.local:80,0.03466906500201872,2
3,21.236785994134827,openai,21.86551924562082,,21.23678731898974,0.1373731440368827,doks-1.34.1-rocm-7.0.2-mi325x8-vllm,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260217,144.0,103.93933297988649,openai,10000.0,3072,21.211527986451983,3072,3,21.212434656915775,,2026-02-17 22:03:06.849000,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,134.23720799619332,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,21.28421027650205,,21.83832961699227,140.67009949376788,2026-02-17,1.3322738052032022,135.58483536704443,43.823625453677764,281.34019898753576,1.0,http://mi325-vllm-0111.default.svc.cluster.local:80,0.03456989149307186,3
4,20.308509957737662,openai,20.834904699004255,,20.30851097874726,0.19138962306215437,doks-1.34.1-rocm-7.0.2-mi325x8-vllm,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260217,200.0,115.97216274822131,openai,10000.0,4096,20.282325480366126,4096,4,20.28966003226982,,2026-02-17 22:03:58.068000,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,139.84193149372004,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,20.363246262692467,,20.899774689984042,195.98297401564608,2026-02-17,1.2461873147208478,140.92914568143897,41.99211312974661,391.96594803129216,1.0,http://mi325-vllm-0111.default.svc.cluster.local:80,0.032914788178128755,4
5,22.08802280608448,openai,22.791012144880366,,22.088023448303318,0.22001558461939802,doks-1.34.1-rocm-7.0.2-mi325x8-vllm,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260217,230.0,122.23091538762674,openai,10000.0,5120,22.060784976929426,5120,5,22.072565691140028,,2026-02-17 22:04:51.376000,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,141.4411619771272,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,22.147024725047185,,22.725662859971635,225.29595865026357,2026-02-17,1.128012877576792,143.3394176652655,39.61428182115377,450.59191730052714,1.0,http://mi325-vllm-0111.default.svc.cluster.local:80,0.031046747176110535,5
6,21.359711660815083,openai,22.27367786865216,,21.359712976547193,0.2728374998089541,doks-1.34.1-rocm-7.0.2-mi325x8-vllm,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260217,282.0,133.12150449686064,openai,10000.0,6144,21.331184019800276,6144,6,21.345825270786726,,2026-02-17 22:05:42.864000,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,150.40538198081776,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,21.425682377419093,,21.991111940995324,279.385599804369,2026-02-17,1.1335730138772115,152.44194453407545,39.54558508190007,558.771199608738,1.0,http://mi325-vllm-0111.default.svc.cluster.local:80,0.031373412993111215,6
7,21.06668953679441,openai,21.85688498429954,,21.066690079732645,0.32259543298083665,doks-1.34.1-rocm-7.0.2-mi325x8-vllm,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260217,336.0,140.9410329984634,openai,10000.0,7168,21.03879500646144,7168,7,21.054129722382044,,2026-02-17 22:06:34.408000,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,156.24169103102759,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,21.13775633419008,,21.699005268979818,330.33772337237673,2026-02-17,1.1213449018352075,158.9107054285705,38.87018268908515,660.6754467447535,1.0,http://mi325-vllm-0111.default.svc.cluster.local:80,0.031185176530706044,7
8,20.98672269195553,openai,21.741538005298935,,20.986723452332217,0.3699681383722769,doks-1.34.1-rocm-7.0.2-mi325x8-vllm,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260217,384.0,146.55458136257948,openai,10000.0,8192,20.96975047606975,8192,8,20.97527476391534,,2026-02-17 22:07:26.536000,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,161.40103098587133,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,21.061638353793846,,21.623483674018644,378.8473736932115,2026-02-17,1.1216578254352603,162.32462923158891,37.94365562459677,757.694747386423,1.0,http://mi325-vllm-0111.default.svc.cluster.local:80,0.030751033837989692,8
9,20.981242560560368,openai,21.87881073448807,,20.98124319638123,0.4162933104270157,doks-1.34.1-rocm-7.0.2-mi325x8-vllm,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260217,432.0,148.90771032595592,openai,10000.0,9216,20.964944968000054,9216,9,20.970693565980202,,2026-02-17 22:08:19.021000,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,161.68107296107337,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,21.058708926610908,,21.619372145971283,426.28434987726405,2026-02-17,1.090236896758554,163.41874854872003,36.8787542766355,852.5686997545281,1.0,http://mi325-vllm-0111.default.svc.cluster.local:80,0.0300797585708652,9
10,21.31733647155628,openai,22.185920611955225,,21.317337115043966,0.4551648007654327,doks-1.34.1-rocm-7.0.2-mi325x8-vllm,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260217,470.0,155.63417409430258,openai,10000.0,10240,21.30027997191064,10240,10,21.307487173987102,,2026-02-17 22:09:10.709000,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,167.3660794913303,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,21.39940738661307,,21.970064432010986,466.0887559838031,2026-02-17,1.0875774344266556,171.51877621130552,36.660754965065486,932.1775119676062,1.0,http://mi325-vllm-0111.default.svc.cluster.local:80,0.030360336925941735,10
